repo,gold_kind,zoekt_MRR,zoekt_hit1,zoekt_hit2,zoekt_hit3,zoekt_n,zoekt_p95ms,zoekt_p100ms,semantic_MRR,semantic_hit1,semantic_hit2,semantic_hit3,semantic_n,semantic_p95ms,semantic_p100ms,lexical_MRR,lexical_hit1,lexical_hit2,lexical_hit3,lexical_n,lexical_p95ms,lexical_p100ms,lexical+zoekt_MRR,lexical+zoekt_hit1,lexical+zoekt_hit2,lexical+zoekt_hit3,lexical+zoekt_n,lexical+zoekt_p95ms,lexical+zoekt_p100ms,lexical+zoekt+semantic_MRR,lexical+zoekt+semantic_hit1,lexical+zoekt+semantic_hit2,lexical+zoekt+semantic_hit3,lexical+zoekt+semantic_n,lexical+zoekt+semantic_p95ms,lexical+zoekt+semantic_p100ms,cg_MRR,cg_hit1,cg_hit2,cg_hit3,cg_n,cg_p95ms,cg_p100ms,ctags_MRR,ctags_hit1,ctags_hit2,ctags_hit3,ctags_n,ctags_p95ms,ctags_p100ms,ast-grep_MRR,ast-grep_hit1,ast-grep_hit2,ast-grep_hit3,ast-grep_n,ast-grep_p95ms,ast-grep_p100ms,serena_MRR,serena_hit1,serena_hit2,serena_hit3,serena_n,serena_p95ms,serena_p100ms,code-index-mcp_MRR,code-index-mcp_hit1,code-index-mcp_hit2,code-index-mcp_hit3,code-index-mcp_n,code-index-mcp_p95ms,code-index-mcp_p100ms,jcodemunch_MRR,jcodemunch_hit1,jcodemunch_hit2,jcodemunch_hit3,jcodemunch_n,jcodemunch_p95ms,jcodemunch_p100ms,rg_MRR,rg_hit1,rg_hit2,rg_hit3,rg_n,rg_p95ms,rg_p100ms,cmm_MRR,cmm_hit1,cmm_hit2,cmm_hit3,cmm_n,cmm_p95ms,cmm_p100ms,fff_MRR,fff_hit1,fff_hit2,fff_hit3,fff_n,fff_p95ms,fff_p100ms,ccc_MRR,ccc_hit1,ccc_hit2,ccc_hit3,ccc_n,ccc_p95ms,ccc_p100ms
seaborn,swebench,0.5189,0.4040,0.5455,0.5859,99,31,165,0.5189,0.4040,0.5455,0.5859,99,32,139,0.5183,0.3939,0.5253,0.5960,99,111,235,0.5183,0.3939,0.5253,0.5960,99,112,268,0.4972,0.3838,0.5051,0.5657,99,74,199,0.4112,0.3434,0.3838,0.4646,99,4,11,0.2172,0.2020,0.2323,0.2323,99,2,6,0.3464,0.2626,0.3838,0.4040,99,762,1062,0.2997,0.2121,0.2424,0.3131,99,407,2245,0.3080,0.2424,0.3131,0.3434,99,72,269,0.3323,0.1717,0.3030,0.4444,99,44,167,0.2909,0.1919,0.2828,0.3131,99,22,52,0.3913,0.3131,0.3535,0.4242,99,40,121,0.3209,0.2323,0.3535,0.3636,99,13,63,0.5150,0.4141,0.5051,0.5657,99,348,520
seaborn,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flask,definition,0.7339,0.6702,0.7340,0.7553,94,23,160,0.7339,0.6702,0.7340,0.7553,94,23,129,0.7461,0.6383,0.8085,0.8404,94,84,211,0.7461,0.6383,0.8085,0.8404,94,83,187,0.7341,0.6277,0.7979,0.8298,94,68,104,0.6752,0.6277,0.6809,0.7128,94,5,14,0.6605,0.6064,0.7021,0.7128,94,4,11,0.5706,0.4468,0.6170,0.6170,94,662,903,0.5908,0.4681,0.6277,0.6702,94,314,543,0.5089,0.4468,0.4894,0.5532,94,55,177,0.4553,0.2766,0.5213,0.6064,94,57,202,0.5985,0.5319,0.6277,0.6596,94,22,66,0.6691,0.6170,0.6809,0.7234,94,38,152,0.5762,0.5213,0.6277,0.6277,94,13,37,0.4954,0.3298,0.5213,0.6383,94,322,398
flask,content,0.7412,0.6289,0.7732,0.8144,97,23,160,0.7412,0.6289,0.7732,0.8144,97,23,129,0.7485,0.6186,0.7938,0.8557,97,84,211,0.7485,0.6186,0.7938,0.8557,97,83,187,0.7004,0.5773,0.7423,0.8041,97,68,104,0.0000,0.0000,0.0000,0.0000,97,5,14,0.0000,0.0000,0.0000,0.0000,97,4,11,0.5148,0.4639,0.5361,0.5773,97,662,903,0.5374,0.5052,0.5361,0.5464,97,314,543,0.4847,0.4021,0.5155,0.5361,97,55,177,0.5351,0.4742,0.5258,0.5567,97,57,202,0.4931,0.4433,0.4845,0.5052,97,22,66,0.7014,0.6186,0.7320,0.7629,97,38,152,0.5797,0.5155,0.5979,0.6392,97,13,37,0.5637,0.4845,0.5567,0.6186,97,322,398
flask,semantic,0.5879,0.3692,0.6154,0.7769,130,23,160,0.5879,0.3692,0.6154,0.7769,130,23,129,0.6635,0.4538,0.7538,0.8462,130,84,211,0.6635,0.4538,0.7538,0.8462,130,83,187,0.0000,0.0000,0.0000,0.0000,130,68,104,0.1094,0.1000,0.1077,0.1154,130,5,14,0.0000,0.0000,0.0000,0.0000,130,4,11,0.0000,0.0000,0.0000,0.0000,130,662,903,0.0000,0.0000,0.0000,0.0000,130,314,543,0.0012,0.0000,0.0000,0.0000,130,55,177,0.1975,0.1154,0.1846,0.1923,130,57,202,0.0000,0.0000,0.0000,0.0000,130,22,66,0.3060,0.2077,0.3231,0.3923,130,38,152,0.0163,0.0000,0.0077,0.0154,130,13,37,0.5827,0.4154,0.5923,0.7308,130,322,398
flask,swebench,0.5221,0.4343,0.4848,0.5556,99,23,160,0.5221,0.4343,0.4848,0.5556,99,23,129,0.5327,0.4141,0.5455,0.5960,99,84,211,0.5327,0.4141,0.5455,0.5960,99,83,187,0.4981,0.3939,0.5152,0.5657,99,68,104,0.5040,0.4141,0.4949,0.5657,99,5,14,0.2780,0.2424,0.2828,0.2929,99,4,11,0.2967,0.2323,0.2828,0.3232,99,662,903,0.4514,0.3636,0.4040,0.4747,99,314,543,0.3005,0.2424,0.2929,0.3434,99,55,177,0.3813,0.2626,0.3131,0.4343,99,57,202,0.3477,0.2424,0.3737,0.4040,99,22,66,0.5955,0.5354,0.6061,0.6566,99,38,152,0.3922,0.3333,0.4040,0.4343,99,13,37,0.4101,0.3131,0.4444,0.4646,99,322,398
flask,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
requests,definition,0.9365,0.9000,0.9500,0.9500,100,26,156,0.9365,0.9000,0.9500,0.9500,100,24,121,0.9440,0.9000,0.9800,0.9800,100,84,178,0.9440,0.9000,0.9800,0.9800,100,80,225,0.9440,0.9000,0.9800,0.9800,100,58,182,0.9425,0.9200,0.9600,0.9600,100,2,9,0.9103,0.8900,0.9100,0.9200,100,3,26,0.8617,0.8000,0.9000,0.9100,100,708,1363,0.8602,0.8000,0.8900,0.9100,100,305,469,0.8099,0.7500,0.8100,0.8500,100,32,111,0.6591,0.4900,0.7100,0.8300,100,29,93,0.8555,0.8000,0.8600,0.8900,100,18,56,0.8117,0.7900,0.8200,0.8200,100,39,87,0.8670,0.8500,0.8700,0.8700,100,10,32,0.8546,0.8000,0.8700,0.9000,100,326,466
requests,content,0.9426,0.9072,0.9588,0.9794,97,26,156,0.9426,0.9072,0.9588,0.9794,97,24,121,0.9203,0.8660,0.9588,0.9588,97,84,178,0.9203,0.8660,0.9588,0.9588,97,80,225,0.9203,0.8660,0.9588,0.9588,97,58,182,0.0000,0.0000,0.0000,0.0000,97,2,9,0.0000,0.0000,0.0000,0.0000,97,3,26,0.8269,0.7732,0.8557,0.8763,97,708,1363,0.7822,0.7216,0.7938,0.8144,97,305,469,0.8116,0.7629,0.8041,0.8454,97,32,111,0.8034,0.7629,0.8041,0.8247,97,29,93,0.8001,0.7423,0.7938,0.8247,97,18,56,0.8123,0.7216,0.8454,0.8866,97,39,87,0.8067,0.7732,0.8144,0.8454,97,10,32,0.7156,0.6082,0.7423,0.7938,97,326,466
requests,semantic,0.7478,0.6000,0.7769,0.9000,130,26,156,0.7478,0.6000,0.7769,0.9000,130,24,121,0.7926,0.6308,0.9077,0.9615,130,84,178,0.7926,0.6308,0.9077,0.9615,130,80,225,0.0000,0.0000,0.0000,0.0000,130,58,182,0.1164,0.1000,0.1154,0.1154,130,2,9,0.0000,0.0000,0.0000,0.0000,130,3,26,0.0000,0.0000,0.0000,0.0000,130,708,1363,0.0000,0.0000,0.0000,0.0000,130,305,469,0.0263,0.0000,0.0000,0.0154,130,32,111,0.2562,0.1769,0.2231,0.2846,130,29,93,0.0000,0.0000,0.0000,0.0000,130,18,56,0.4746,0.3462,0.5000,0.5923,130,39,87,0.0956,0.0154,0.0308,0.1615,130,10,32,0.7801,0.6615,0.8154,0.8846,130,326,466
requests,swebench,0.4998,0.4242,0.5051,0.5657,99,26,156,0.4998,0.4242,0.5051,0.5657,99,24,121,0.5589,0.4949,0.5758,0.6061,99,84,178,0.5589,0.4949,0.5758,0.6061,99,80,225,0.5253,0.4646,0.5455,0.5758,99,58,182,0.5022,0.4444,0.5051,0.5455,99,2,9,0.2704,0.2525,0.2828,0.2828,99,3,26,0.3993,0.3737,0.4040,0.4242,99,708,1363,0.4396,0.3232,0.4646,0.5354,99,305,469,0.3497,0.2929,0.3636,0.3737,99,32,111,0.2985,0.1515,0.2525,0.4343,99,29,93,0.3432,0.2626,0.3636,0.3939,99,18,56,0.5040,0.4444,0.5354,0.5556,99,39,87,0.4045,0.3535,0.4040,0.4242,99,10,32,0.3883,0.2929,0.3636,0.4646,99,326,466
requests,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xarray,definition,1.0000,1.0000,1.0000,1.0000,100,38,150,1.0000,1.0000,1.0000,1.0000,100,32,223,0.9450,0.8900,1.0000,1.0000,100,100,221,0.9450,0.8900,1.0000,1.0000,100,106,238,0.9450,0.8900,1.0000,1.0000,100,74,194,1.0000,1.0000,1.0000,1.0000,100,4,13,0.9833,0.9800,0.9800,0.9900,100,2,6,0.7345,0.6000,0.7700,0.8700,100,799,921,0.7113,0.5600,0.7600,0.8400,100,443,833,0.6127,0.4800,0.6100,0.6800,100,56,208,0.4567,0.1900,0.4200,0.6700,100,67,2682,0.6689,0.5300,0.6800,0.7700,100,20,51,0.9200,0.8800,0.9600,0.9600,100,46,128,0.8350,0.8100,0.8600,0.8600,100,9,24,0.8056,0.7000,0.8400,0.8900,100,344,417
xarray,content,0.9906,0.9900,0.9900,0.9900,100,38,150,0.9906,0.9900,0.9900,0.9900,100,32,223,0.9656,0.9400,0.9900,0.9900,100,100,221,0.9656,0.9400,0.9900,0.9900,100,106,238,0.9656,0.9400,0.9900,0.9900,100,74,194,0.0000,0.0000,0.0000,0.0000,100,4,13,0.0000,0.0000,0.0000,0.0000,100,2,6,0.9800,0.9800,0.9800,0.9800,100,799,921,0.9900,0.9900,0.9900,0.9900,100,443,833,0.9800,0.9800,0.9800,0.9800,100,56,208,0.9800,0.9800,0.9800,0.9800,100,67,2682,1.0000,1.0000,1.0000,1.0000,100,20,51,0.9800,0.9800,0.9800,0.9800,100,46,128,1.0000,1.0000,1.0000,1.0000,100,9,24,0.8733,0.7900,0.9200,0.9500,100,344,417
xarray,semantic,0.5251,0.3538,0.4692,0.6231,130,38,150,0.5251,0.3538,0.4692,0.6231,130,32,223,0.6271,0.4538,0.6615,0.7692,130,100,221,0.6271,0.4538,0.6615,0.7692,130,106,238,0.0000,0.0000,0.0000,0.0000,130,74,194,0.0853,0.0231,0.0692,0.1615,130,4,13,0.0000,0.0000,0.0000,0.0000,130,2,6,0.0000,0.0000,0.0000,0.0000,130,799,921,0.0000,0.0000,0.0000,0.0000,130,443,833,0.0062,0.0000,0.0077,0.0077,130,56,208,0.1082,0.0308,0.0615,0.0846,130,67,2682,0.0000,0.0000,0.0000,0.0000,130,20,51,0.2579,0.1615,0.2538,0.3000,130,46,128,0.0196,0.0077,0.0154,0.0231,130,9,24,0.6359,0.5000,0.6692,0.7154,130,344,417
xarray,swebench,0.5007,0.3939,0.4747,0.5859,99,38,150,0.5007,0.3939,0.4747,0.5859,99,32,223,0.5551,0.4444,0.5657,0.6263,99,100,221,0.5551,0.4444,0.5657,0.6263,99,106,238,0.5147,0.4141,0.5152,0.5758,99,74,194,0.4109,0.3434,0.4141,0.4343,99,4,13,0.2312,0.2020,0.2323,0.2626,99,2,6,0.2473,0.1818,0.2424,0.2727,99,799,921,0.2940,0.2121,0.2828,0.2929,99,443,833,0.2416,0.1818,0.2121,0.2525,99,56,208,0.2675,0.1212,0.2525,0.3434,99,67,2682,0.3352,0.2525,0.3434,0.3838,99,20,51,0.4972,0.3939,0.5051,0.5758,99,46,128,0.3099,0.2424,0.2727,0.3434,99,9,24,0.3284,0.1919,0.3535,0.4141,99,344,417
xarray,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pylint,definition,0.9700,0.9700,0.9700,0.9700,100,40,157,0.9700,0.9700,0.9700,0.9700,100,38,129,0.9509,0.9300,0.9700,0.9700,100,94,263,0.9509,0.9300,0.9700,0.9700,100,93,239,0.9259,0.9100,0.9400,0.9400,100,83,202,0.9150,0.9100,0.9100,0.9100,100,18,30,0.9033,0.9000,0.9000,0.9100,100,2,7,0.6455,0.4900,0.6900,0.7700,100,716,1430,0.8340,0.7800,0.8600,0.8900,100,1450,2087,0.6788,0.6000,0.6400,0.7100,100,341,719,0.4546,0.2500,0.3600,0.5500,100,226,858,0.6167,0.5100,0.5900,0.6600,100,37,78,0.8100,0.7900,0.8300,0.8300,100,87,219,0.8733,0.8600,0.8800,0.8900,100,12,35,0.7816,0.7300,0.7800,0.8200,100,340,425
pylint,content,0.9829,0.9800,0.9800,0.9800,100,40,157,0.9829,0.9800,0.9800,0.9800,100,38,129,0.9642,0.9500,0.9600,0.9800,100,94,263,0.9642,0.9500,0.9600,0.9800,100,93,239,0.9442,0.9300,0.9400,0.9600,100,83,202,0.0000,0.0000,0.0000,0.0000,100,18,30,0.0000,0.0000,0.0000,0.0000,100,2,7,0.7800,0.7800,0.7800,0.7800,100,716,1430,0.9858,0.9800,0.9800,0.9900,100,1450,2087,0.7800,0.7800,0.7800,0.7800,100,341,719,0.7800,0.7800,0.7800,0.7800,100,226,858,1.0000,1.0000,1.0000,1.0000,100,37,78,0.7800,0.7800,0.7800,0.7800,100,87,219,1.0000,1.0000,1.0000,1.0000,100,12,35,0.8640,0.8300,0.8600,0.8900,100,340,425
pylint,semantic,0.5510,0.4231,0.5769,0.6231,130,40,157,0.5510,0.4231,0.5769,0.6231,130,38,129,0.5624,0.4231,0.5769,0.6769,130,94,263,0.5624,0.4231,0.5769,0.6769,130,93,239,0.0000,0.0000,0.0000,0.0000,130,83,202,0.0204,0.0077,0.0077,0.0154,130,18,30,0.0000,0.0000,0.0000,0.0000,130,2,7,0.0011,0.0000,0.0000,0.0000,130,716,1430,0.0022,0.0000,0.0000,0.0000,130,1450,2087,0.0005,0.0000,0.0000,0.0000,130,341,719,0.0310,0.0077,0.0462,0.0462,130,226,858,0.0000,0.0000,0.0000,0.0000,130,37,78,0.3058,0.2308,0.3154,0.3615,130,87,219,0.0083,0.0000,0.0077,0.0077,130,12,35,0.5926,0.4615,0.6000,0.6923,130,340,425
pylint,swebench,0.7267,0.6408,0.7573,0.7767,103,40,157,0.7267,0.6408,0.7573,0.7767,103,38,129,0.7397,0.6505,0.7767,0.8155,103,94,263,0.7397,0.6505,0.7767,0.8155,103,93,239,0.7009,0.6311,0.7379,0.7670,103,83,202,0.5966,0.5437,0.6408,0.6408,103,18,30,0.3141,0.3107,0.3107,0.3204,103,2,7,0.5029,0.4175,0.4854,0.5922,103,716,1430,0.5037,0.4272,0.5049,0.5340,103,1450,2087,0.4828,0.4078,0.5146,0.5243,103,341,719,0.3785,0.2524,0.2816,0.5049,103,226,858,0.3188,0.2233,0.2718,0.2913,103,37,78,0.5149,0.4466,0.5243,0.5825,103,87,219,0.5853,0.5049,0.6602,0.6602,103,12,35,0.6254,0.5243,0.6699,0.7184,103,340,425
pylint,sessions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytest,definition,1.0000,1.0000,1.0000,1.0000,100,30,229,1.0000,1.0000,1.0000,1.0000,100,27,239,0.9750,0.9500,1.0000,1.0000,100,98,228,0.9750,0.9500,1.0000,1.0000,100,91,220,0.9650,0.9400,0.9900,0.9900,100,65,190,0.9720,0.9700,0.9700,0.9700,100,5,14,0.9650,0.9600,0.9700,0.9700,100,2,8,0.7569,0.6100,0.8400,0.8900,100,684,792,0.9662,0.9600,0.9600,0.9700,100,440,785,0.8048,0.7400,0.7900,0.8800,100,79,204,0.6638,0.4800,0.6900,0.8200,100,54,223,0.6761,0.5000,0.7500,0.8100,100,20,57,0.9700,0.9600,0.9800,0.9800,100,53,172,0.8975,0.8600,0.9300,0.9300,100,10,44,0.7970,0.7100,0.8100,0.8700,100,371,520
pytest,content,1.0000,1.0000,1.0000,1.0000,100,30,229,1.0000,1.0000,1.0000,1.0000,100,27,239,0.9950,0.9900,1.0000,1.0000,100,98,228,0.9950,0.9900,1.0000,1.0000,100,91,220,0.9950,0.9900,1.0000,1.0000,100,65,190,0.0000,0.0000,0.0000,0.0000,100,5,14,0.0000,0.0000,0.0000,0.0000,100,2,8,0.9700,0.9700,0.9700,0.9700,100,684,792,1.0000,1.0000,1.0000,1.0000,100,440,785,0.9700,0.9700,0.9700,0.9700,100,79,204,0.9700,0.9700,0.9700,0.9700,100,54,223,1.0000,1.0000,1.0000,1.0000,100,20,57,0.9700,0.9700,0.9700,0.9700,100,53,172,1.0000,1.0000,1.0000,1.0000,100,10,44,0.8463,0.7800,0.8500,0.8900,100,371,520
